No.,Time,Source,Destination,Protocol,Length,Info
19466,10.1154221,10.0.1.3,10.0.1.2,TCP,54,"9726  >  40151 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19467,10.1154222,10.0.1.3,10.0.1.2,TCP,54,"9725  >  37647 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19468,10.1157024,10.0.1.2,10.0.1.3,TCP,74,33455  >  9728 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002465 TSecr=0 WS=128
19469,10.116032,10.0.1.2,10.0.1.3,TCP,74,46351  >  9727 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002465 TSecr=0 WS=128
19470,10.1164711,10.0.1.2,10.0.1.3,TCP,74,45005  >  9729 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002466 TSecr=0 WS=128
19471,10.1167897,10.0.1.2,10.0.1.3,TCP,74,44949  >  9724 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002466 TSecr=0 WS=128
19472,10.1169655,10.0.1.3,10.0.1.2,TCP,54,"9729  >  45005 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19473,10.1169657,10.0.1.3,10.0.1.2,TCP,54,"9724  >  44949 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19474,10.1169658,10.0.1.3,10.0.1.2,TCP,54,"9728  >  33455 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19475,10.1169782,10.0.1.3,10.0.1.2,TCP,54,"9727  >  46351 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19476,10.1219601,10.0.1.2,10.0.1.3,TCP,74,36819  >  9732 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002471 TSecr=0 WS=128
19477,10.1223379,10.0.1.3,10.0.1.2,TCP,54,"9732  >  36819 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19478,10.1224468,10.0.1.2,10.0.1.3,TCP,74,43115  >  9733 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002472 TSecr=0 WS=128
19479,10.1226101,10.0.1.3,10.0.1.2,TCP,54,"9733  >  43115 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19480,10.122809,10.0.1.2,10.0.1.3,TCP,74,38615  >  9731 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002472 TSecr=0 WS=128
19481,10.1229629,10.0.1.3,10.0.1.2,TCP,54,"9731  >  38615 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19482,10.1231699,10.0.1.2,10.0.1.3,TCP,74,43511  >  9734 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002473 TSecr=0 WS=128
19483,10.1236769,10.0.1.3,10.0.1.2,TCP,54,"9734  >  43511 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19484,10.1243084,10.0.1.2,10.0.1.3,TCP,74,39163  >  9738 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002474 TSecr=0 WS=128
19485,10.1243351,10.0.1.2,10.0.1.3,TCP,74,46437  >  9736 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002474 TSecr=0 WS=128
19486,10.1245137,10.0.1.3,10.0.1.2,TCP,54,"9736  >  46437 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19487,10.1245249,10.0.1.3,10.0.1.2,TCP,54,"9738  >  39163 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19488,10.1250987,10.0.1.2,10.0.1.3,TCP,74,38169  >  9737 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002474 TSecr=0 WS=128
19489,10.1251196,10.0.1.2,10.0.1.3,TCP,74,34363  >  9735 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002475 TSecr=0 WS=128
19490,10.1255309,10.0.1.2,10.0.1.3,TCP,74,42651  >  9739 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002475 TSecr=0 WS=128
19491,10.1258584,10.0.1.2,10.0.1.3,TCP,74,33455  >  9740 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002475 TSecr=0 WS=128
